Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG3,NO,01/01/2011 00:00,8.50000,ug m-3,R
BG3,NO,01/01/2011 00:15,9.60000,ug m-3,R
BG3,NO,01/01/2011 00:30,11.30000,ug m-3,R
BG3,NO,01/01/2011 00:45,,ug m-3,R
BG3,NO,01/01/2011 01:00,,ug m-3,R
BG3,NO,01/01/2011 01:15,2.50000,ug m-3,R
BG3,NO,01/01/2011 01:30,2.50000,ug m-3,R
BG3,NO,01/01/2011 01:45,1.20000,ug m-3,R
BG3,NO,01/01/2011 02:00,2.30000,ug m-3,R
BG3,NO,01/01/2011 02:15,2.30000,ug m-3,R
BG3,NO,01/01/2011 02:30,1.80000,ug m-3,R
BG3,NO,01/01/2011 02:45,1.40000,ug m-3,R
BG3,NO,01/01/2011 03:00,2.30000,ug m-3,R
BG3,NO,01/01/2011 03:15,1.60000,ug m-3,R
BG3,NO,01/01/2011 03:30,2.80000,ug m-3,R
BG3,NO,01/01/2011 03:45,6.30000,ug m-3,R
BG3,NO,01/01/2011 04:00,3.20000,ug m-3,R
BG3,NO,01/01/2011 04:15,2.30000,ug m-3,R
BG3,NO,01/01/2011 04:30,1.80000,ug m-3,R
BG3,NO,01/01/2011 04:45,1.30000,ug m-3,R
BG3,NO,01/01/2011 05:00,1.40000,ug m-3,R
BG3,NO,01/01/2011 05:15,1.40000,ug m-3,R
BG3,NO,01/01/2011 05:30,2.00000,ug m-3,R
BG3,NO,01/01/2011 05:45,2.80000,ug m-3,R
BG3,NO,01/01/2011 06:00,2.40000,ug m-3,R
BG3,NO,01/01/2011 06:15,1.30000,ug m-3,R
BG3,NO,01/01/2011 06:30,1.80000,ug m-3,R
BG3,NO,01/01/2011 06:45,2.30000,ug m-3,R
BG3,NO,01/01/2011 07:00,1.60000,ug m-3,R
BG3,NO,01/01/2011 07:15,1.20000,ug m-3,R
BG3,NO,01/01/2011 07:30,1.80000,ug m-3,R
BG3,NO,01/01/2011 07:45,1.30000,ug m-3,R
BG3,NO,01/01/2011 08:00,2.50000,ug m-3,R
BG3,NO,01/01/2011 08:15,3.40000,ug m-3,R
BG3,NO,01/01/2011 08:30,3.20000,ug m-3,R
BG3,NO,01/01/2011 08:45,5.00000,ug m-3,R
BG3,NO,01/01/2011 09:00,4.10000,ug m-3,R
BG3,NO,01/01/2011 09:15,4.10000,ug m-3,R
BG3,NO,01/01/2011 09:30,6.00000,ug m-3,R
BG3,NO,01/01/2011 09:45,6.50000,ug m-3,R
BG3,NO,01/01/2011 10:00,8.70000,ug m-3,R
BG3,NO,01/01/2011 10:15,11.10000,ug m-3,R
BG3,NO,01/01/2011 10:30,18.20000,ug m-3,R
BG3,NO,01/01/2011 10:45,16.70000,ug m-3,R
BG3,NO,01/01/2011 11:00,13.60000,ug m-3,R
BG3,NO,01/01/2011 11:15,14.10000,ug m-3,R
BG3,NO,01/01/2011 11:30,7.80000,ug m-3,R
BG3,NO,01/01/2011 11:45,10.10000,ug m-3,R
BG3,NO,01/01/2011 12:00,15.80000,ug m-3,R
BG3,NO,01/01/2011 12:15,8.30000,ug m-3,R
BG3,NO,01/01/2011 12:30,9.20000,ug m-3,R
BG3,NO,01/01/2011 12:45,11.40000,ug m-3,R
BG3,NO,01/01/2011 13:00,8.70000,ug m-3,R
BG3,NO,01/01/2011 13:15,11.10000,ug m-3,R
BG3,NO,01/01/2011 13:30,11.20000,ug m-3,R
BG3,NO,01/01/2011 13:45,9.70000,ug m-3,R
BG3,NO,01/01/2011 14:00,14.10000,ug m-3,R
BG3,NO,01/01/2011 14:15,8.90000,ug m-3,R
BG3,NO,01/01/2011 14:30,12.30000,ug m-3,R
BG3,NO,01/01/2011 14:45,25.10000,ug m-3,R
BG3,NO,01/01/2011 15:00,11.20000,ug m-3,R
BG3,NO,01/01/2011 15:15,10.40000,ug m-3,R
BG3,NO,01/01/2011 15:30,5.80000,ug m-3,R
BG3,NO,01/01/2011 15:45,8.60000,ug m-3,R
BG3,NO,01/01/2011 16:00,6.00000,ug m-3,R
BG3,NO,01/01/2011 16:15,8.20000,ug m-3,R
BG3,NO,01/01/2011 16:30,15.10000,ug m-3,R
BG3,NO,01/01/2011 16:45,16.00000,ug m-3,R
BG3,NO,01/01/2011 17:00,24.90000,ug m-3,R
BG3,NO,01/01/2011 17:15,11.60000,ug m-3,R
BG3,NO,01/01/2011 17:30,20.60000,ug m-3,R
BG3,NO,01/01/2011 17:45,29.10000,ug m-3,R
BG3,NO,01/01/2011 18:00,17.70000,ug m-3,R
BG3,NO,01/01/2011 18:15,11.20000,ug m-3,R
BG3,NO,01/01/2011 18:30,19.60000,ug m-3,R
BG3,NO,01/01/2011 18:45,13.60000,ug m-3,R
BG3,NO,01/01/2011 19:00,11.50000,ug m-3,R
BG3,NO,01/01/2011 19:15,7.00000,ug m-3,R
BG3,NO,01/01/2011 19:30,16.90000,ug m-3,R
BG3,NO,01/01/2011 19:45,11.20000,ug m-3,R
BG3,NO,01/01/2011 20:00,12.00000,ug m-3,R
BG3,NO,01/01/2011 20:15,8.50000,ug m-3,R
BG3,NO,01/01/2011 20:30,7.20000,ug m-3,R
BG3,NO,01/01/2011 20:45,5.80000,ug m-3,R
BG3,NO,01/01/2011 21:00,12.70000,ug m-3,R
BG3,NO,01/01/2011 21:15,9.80000,ug m-3,R
BG3,NO,01/01/2011 21:30,9.30000,ug m-3,R
BG3,NO,01/01/2011 21:45,3.80000,ug m-3,R
BG3,NO,01/01/2011 22:00,4.30000,ug m-3,R
BG3,NO,01/01/2011 22:15,5.80000,ug m-3,R
BG3,NO,01/01/2011 22:30,12.90000,ug m-3,R
BG3,NO,01/01/2011 22:45,6.30000,ug m-3,R
BG3,NO,01/01/2011 23:00,4.10000,ug m-3,R
BG3,NO,01/01/2011 23:15,7.20000,ug m-3,R
BG3,NO,01/01/2011 23:30,4.20000,ug m-3,R
BG3,NO,01/01/2011 23:45,5.30000,ug m-3,R
BG3,NO,02/01/2011 00:00,4.30000,ug m-3,R
BG3,NO,02/01/2011 00:15,7.20000,ug m-3,R
